ticker,name,universe,category,metric_1,metric_2,metric_3,score,last_updated
HULK180,1974 Marvel The Incredible Hulk #180,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
59FLASH,1959 DC Comics The Flash #105,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
AC23,1940 DC Comics Action Comics #23,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SPIDER10,1964 Marvel The Amazing Spider-Man #10,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
FLASH123,1961 DC Comics The Flash #123,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
XLXMEN1,1975 Marvel Giant-Size X-Men #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
XMEN94,1975 Marvel X-Men #94,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
DRACULA10,1973 Marvel Tomb of Dracula #10,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
GHOST1,1973 Marvel Ghost Rider #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
CAPTAIN3,1941 Timely Comics Captain America Comics #3,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SUPERMAN6,1940 DC Comics Superman #6,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN6,1941 DC Comics Batman #6,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
WOLVERINE,1974 Marvel The Incredible Hulk #181,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN,"1940 DC Comics Batman #1, CGC 8.0",alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
BATMAN1,"1940 DC Comics Batman #1, CGC 1.5",alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
JUSTISE1,1960 DC Comics Justice League of America #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
THOR,1962 Marvel Journey into Mystery #83,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
TMNT1,1984 Teenage Mutant Ninja Turtles #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
AF15,1962 Marvel Amazing Fantasy #15,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
FAN41,1961 Marvel Fantastic Four #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
XMEN1,1963 Marvel X-Men #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
AVENGERS1,1963 Marvel The Avengers #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
TOS39,1963 Marvel Tales of Suspense #39,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
HULK1,1962 Marvel The Incredible Hulk #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
DAREDEV1,1964 Marvel Daredevil #1,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
SUPER14,1942 DC Comics Superman #14,alternative_assets,comics,,0.0,0.45,0.0,2026-08-03
