date,active_asset_count,direct_observation_asset_count,carried_forward_asset_count,stale_asset_count,median_observation_age_days,max_observation_age_days,direct_coverage_pct,carried_forward_coverage_pct
2021-06-07,59,1,58,15,62.0,584,0.007338519220248976,0.992661480779751
2021-06-11,59,1,58,15,59.0,588,0.015554994216732919,0.9844450057832671
2021-06-16,59,1,58,15,64.0,593,0.019258993617967977,0.980741006382032
2021-06-17,59,1,58,15,65.0,594,0.008472838346879081,0.9915271616531209
2021-06-18,59,1,58,14,66.0,595,0.053933353665681354,0.9460666463343187
2021-06-21,59,2,57,12,67.0,598,0.03238100169797721,0.9676189983020228
2021-06-23,59,1,58,12,69.0,600,0.015337078136578348,0.9846629218634216
2021-06-24,59,1,58,13,65.0,601,0.005167928502542704,0.9948320714974573
2021-06-25,59,1,58,13,64.0,602,0.019428970920476556,0.9805710290795234
2021-06-28,59,1,58,14,67.0,605,0.015986403282673867,0.9840135967173261
2021-07-01,60,0,59,17,66.5,608,0.0,0.9617994678984216
2021-07-07,60,1,59,16,68.0,614,0.006054199423735807,0.9939458005762641
2021-07-08,60,1,59,16,68.0,615,0.007643026096953378,0.9923569739030467
2021-07-14,60,1,59,16,74.0,621,0.015510660809545704,0.9844893391904543
2021-07-16,60,1,59,17,74.5,623,0.04298668852931238,0.9570133114706876
2021-07-20,60,2,58,16,72.5,627,0.010173625114591942,0.989826374885408
2021-07-23,60,1,59,16,72.5,630,0.0031715650166863965,0.9968284349833136
2021-07-26,60,1,59,15,74.5,633,0.03758200510958678,0.9624179948904132
2021-07-27,60,1,59,14,74.5,634,0.008760903217832818,0.9912390967821672
2021-07-30,60,1,59,14,74.5,637,0.0202428046561565,0.9797571953438435
2021-08-01,61,0,60,18,74.0,639,0.0,0.9676060168433646
2021-08-04,61,1,60,17,75.0,642,0.011607713483691615,0.9883922865163084
2021-08-05,61,1,60,17,76.0,643,0.08058512577067257,0.9194148742293274
2021-08-06,61,1,60,17,73.0,644,0.02976569827454731,0.9702343017254527
2021-08-10,61,2,59,17,71.0,648,0.021597248859008423,0.9784027511409916
2021-08-13,61,1,60,19,73.0,651,0.012017231537612102,0.9879827684623879
2021-08-16,61,1,60,19,76.0,654,0.015809038525016705,0.9841909614749833
2021-08-17,61,1,60,19,71.0,655,0.014569751593020215,0.9854302484069798
2021-08-19,61,1,60,19,69.0,657,0.008153121444383701,0.9918468785556163
2021-08-20,61,1,60,18,65.0,658,0.005354036869629966,0.99464596313037
2021-08-24,61,1,60,18,68.0,662,0.006538682847727154,0.9934613171522728
2021-08-25,61,1,60,18,68.0,663,0.00826671617027695,0.991733283829723
2021-08-26,61,1,60,18,66.0,664,0.013703556544209558,0.9862964434557905
2021-08-27,61,1,60,17,67.0,665,0.011565674235436647,0.9884343257645634
2021-08-30,61,1,60,20,68.0,668,0.01684129572447929,0.9831587042755207
2021-09-03,61,1,60,20,71.0,672,0.044631083520986756,0.9553689164790132
2021-09-08,61,1,60,20,75.0,677,0.011896619679124547,0.9881033803208754
2021-09-10,61,1,60,22,74.0,679,0.020717011853964698,0.9792829881460353
2021-09-13,61,1,60,24,74.0,682,0.01185375359226557,0.9881462464077344
2021-09-14,61,1,60,23,69.0,683,0.015474343986202586,0.9845256560137974
2021-09-15,61,2,59,23,69.0,684,0.03559634502840012,0.9644036549715999
2021-09-17,61,1,60,22,63.0,686,0.006881957228635824,0.9931180427713642
2021-09-20,61,1,60,22,62.0,689,0.009114672903625233,0.9908853270963748
2021-09-21,61,1,60,22,63.0,690,0.005160728006697478,0.9948392719933026
2021-09-22,61,1,60,22,64.0,691,0.034404853377983186,0.9655951466220168
2021-09-24,61,1,60,21,63.0,693,0.012699211733614013,0.987300788266386
2021-09-27,61,1,60,21,62.0,696,0.003845461069352676,0.9961545389306473
2021-09-28,61,1,60,20,60.0,697,0.035148538687466896,0.9648514613125331
2021-09-30,61,2,59,19,57.0,699,0.016227559663894105,0.9837724403361059
2021-10-01,64,0,61,19,56.5,700,0.0,0.8271270054321473
2021-10-04,64,1,63,18,57.0,703,0.007739341770733381,0.9922606582292666
2021-10-05,64,1,63,17,56.0,704,0.020531578689202353,0.9794684213107977
2021-10-15,64,1,63,17,66.0,714,0.013062107990977815,0.9869378920090222
2021-10-18,64,1,63,18,67.5,717,0.009765625,0.990234375
2021-10-21,64,1,63,19,67.5,720,0.003607957058327863,0.9963920429416722
2021-10-22,64,1,63,18,65.5,721,0.069831426935378,0.930168573064622
2021-10-28,64,1,63,18,69.5,727,0.005074653270823537,0.9949253467291764
2021-10-29,64,1,63,18,68.0,728,0.011617478263698168,0.9883825217363018
2021-11-01,66,2,62,17,66.5,731,0.040463731037838624,0.9415332159204507
2021-11-03,66,1,65,17,66.5,733,0.010602817405221841,0.9893971825947782
2021-11-04,66,1,65,16,64.0,734,0.004353200346881333,0.9956467996531186
2021-11-09,66,1,65,16,64.5,739,0.016996232525614424,0.9830037674743856
2021-11-10,66,1,65,16,62.0,740,0.009563293347761763,0.9904367066522383
2021-11-11,66,1,65,16,60.5,741,0.01227058629224541,0.9877294137077546
2021-11-15,66,1,65,16,62.5,745,0.005854797615191158,0.9941452023848089
2021-11-17,66,1,65,16,63.5,747,0.015107271251961311,0.9848927287480387
2021-12-01,67,0,66,20,77.0,761,0.0,0.9943694866717304
2021-12-20,67,1,66,25,96.0,780,0.01554988272796776,0.9844501172720322
2021-12-28,67,1,66,28,102.0,788,0.013257532062013288,0.9867424679379867
2021-12-30,67,1,66,27,101.0,790,0.045666202946786284,0.9543337970532138
2021-12-31,67,1,66,26,101.0,791,0.005726514276486417,0.9942734857235136
2022-01-01,71,0,67,26,99.0,792,0.0,0.9620949796232968
2022-01-03,71,3,68,26,98.0,794,0.04778201567895402,0.952217984321046
2022-01-10,71,8,63,24,87.0,801,0.13887616590089608,0.8611238340991039
2022-01-18,71,2,69,24,89.0,809,0.01833087744278327,0.9816691225572167
2022-01-24,71,5,66,22,84.0,815,0.03580090599589207,0.964199094004108
2022-01-31,71,4,67,25,83.0,822,0.05700577237579135,0.9429942276242087
2022-02-01,74,0,71,25,82.5,823,0.0,0.9836332961532641
2022-02-07,74,3,71,23,75.0,829,0.04366550278144046,0.9563344972185596
2022-02-14,74,2,72,23,52.0,836,0.018812324612375635,0.9811876753876244
2022-02-22,74,1,73,24,55.0,844,0.025443702967485448,0.9745562970325146
2022-03-01,76,0,74,25,60.5,851,0.0,0.9934550173498462
2022-03-07,76,1,75,29,65.5,857,0.013561850514502705,0.9864381494854974
2022-03-25,76,6,70,30,82.0,875,0.04314276881847089,0.9568572311815291
2022-03-28,76,20,56,26,63.0,878,0.19732871492407317,0.8026712850759269
2022-03-29,76,10,66,21,28.0,879,0.10489063712046713,0.8951093628795329
2022-03-30,76,8,68,19,3.5,880,0.17451350812849142,0.8254864918715086
2022-03-31,76,9,67,14,3.0,881,0.10099278046615544,0.8990072195338445
2022-04-11,76,1,75,13,14.0,892,0.012914193758307838,0.9870858062416922
2022-05-01,77,0,76,13,34.0,912,0.0,0.994356843142812
2022-06-24,77,5,72,19,88.0,966,0.022426259842915616,0.9775737401570844
2022-06-27,77,27,50,18,89.0,969,0.2690811654035037,0.7309188345964963
2022-06-28,77,3,74,18,89.0,970,0.06294179430508212,0.9370582056949178
2022-06-29,77,9,68,18,2.0,971,0.14441624990761498,0.855583750092385
2022-06-30,77,12,65,19,3.0,972,0.15920945646848347,0.8407905435315165
2022-07-01,78,1,76,19,4.0,973,0.00892543277894591,0.9857166939569724
2022-08-01,81,0,78,19,35.0,1004,0.0,0.9795194494828021
2022-09-26,81,12,69,19,91.0,1060,0.13807988370183574,0.8619201162981642
2022-09-27,81,10,71,19,91.0,1061,0.10509290757575661,0.8949070924242434
2022-09-28,81,11,70,19,90.0,1062,0.13333992055553381,0.8666600794444662
2022-09-29,81,11,70,18,3.0,1063,0.09922679829927909,0.900773201700721
2022-09-30,81,15,66,17,3.0,1064,0.19543255162444714,0.8045674483755528
2022-10-03,81,1,80,16,6.0,1067,0.0038376544256150643,0.996162345574385
2022-10-10,81,2,79,14,13.0,1074,0.013972849976226748,0.9860271500237733
2022-10-17,81,1,80,13,19.0,1081,0.0018404570036193494,0.9981595429963807
2022-12-27,81,16,65,18,90.0,1152,0.13317860078679103,0.866821399213209
2022-12-28,81,10,71,16,90.0,1153,0.16043672497006967,0.8395632750299303
2022-12-29,81,14,67,16,90.0,1154,0.10670923399098454,0.8932907660090155
2022-12-30,81,28,53,12,1.0,1155,0.40066184953549094,0.5993381504645091
2023-03-13,81,1,80,12,74.0,1228,0.011585840943782602,0.9884141590562174
2023-03-24,81,1,80,12,85.0,1239,0.008752538959648625,0.9912474610403513
2023-03-27,81,11,70,12,88.0,1242,0.11571737250262501,0.884282627497375
2023-03-28,81,9,72,12,88.0,1243,0.14176658315867768,0.8582334168413224
2023-03-29,81,11,70,11,89.0,1244,0.14091055424291027,0.8590894457570897
2023-03-30,81,16,65,11,3.0,1245,0.21494933024019455,0.7850506697598054
2023-03-31,81,21,60,11,2.0,1246,0.2811941475921064,0.7188058524078936
2023-06-26,80,11,69,11,88.0,1333,0.1055932896948278,0.8944067103051722
2023-06-27,80,12,68,11,89.0,1334,0.1963699703195347,0.8036300296804653
2023-06-28,80,10,70,11,89.0,1335,0.17033094900662343,0.8296690509933765
2023-06-29,80,14,66,11,3.0,1336,0.19582843721487825,0.8041715627851218
2023-06-30,80,22,58,11,2.0,1337,0.2145835889494846,0.7854164110505154
2023-09-25,80,7,73,11,88.5,1424,0.08005076854805197,0.9199492314519481
2023-09-26,80,13,67,11,89.0,1425,0.2498954416880267,0.7501045583119733
2023-09-27,80,11,69,11,89.0,1426,0.14116780692096548,0.8588321930790345
2023-09-28,79,15,64,11,3.0,1427,0.14204725950517516,0.8579527404948248
2023-09-29,79,23,56,11,2.0,1428,0.24941588305265602,0.750584116947344
2023-12-26,79,3,76,11,89.0,1516,0.09347799459098352,0.9065220054090165
2023-12-27,79,4,75,11,90.0,1517,0.03763825239778118,0.9623617476022188
2023-12-28,79,10,69,11,91.0,1518,0.12955251744510343,0.8704474825548966
2023-12-29,79,51,28,11,0.0,1519,0.5906449417135733,0.4093550582864267
2024-03-22,79,2,77,11,84.0,1603,0.018272448000464063,0.981727551999536
2024-03-25,79,14,65,11,87.0,1606,0.27184030646198765,0.7281596935380124
2024-03-26,79,12,67,11,88.0,1607,0.19369891174887013,0.8063010882511299
2024-03-27,79,8,71,11,89.0,1608,0.11032654300731048,0.8896734569926895
2024-03-28,79,32,47,11,1.0,1609,0.3197115633461846,0.6802884366538153
2024-06-21,79,1,78,11,86.0,1694,0.006808792815835476,0.9931912071841645
2024-06-24,79,15,64,11,88.0,1697,0.18244205610081307,0.8175579438991869
2024-06-25,79,7,72,11,89.0,1698,0.09256365218488664,0.9074363478151134
2024-06-26,79,12,67,11,90.0,1699,0.11018538790629419,0.8898146120937058
2024-06-27,79,12,67,11,3.0,1700,0.2212678058615042,0.7787321941384958
2024-06-28,79,21,58,11,2.0,1701,0.2590190026224712,0.7409809973775288
2024-09-23,79,1,78,11,89.0,1788,0.016759404532371465,0.9832405954676285
2024-09-24,79,3,76,11,90.0,1789,0.053684986808511595,0.9463150131914884
2024-09-25,79,12,67,11,90.0,1790,0.2254866343306489,0.7745133656693511
2024-09-26,79,13,66,11,90.0,1791,0.19585630266592927,0.8041436973340708
2024-09-27,78,20,58,11,2.0,1792,0.19702441766220216,0.8029755823377979
2024-09-30,78,19,59,11,3.5,1795,0.219245550107171,0.780754449892829
2024-12-01,79,0,78,11,65.0,1857,0.0,0.19065194163334973
2024-12-24,79,2,77,11,88.0,1880,0.003107457559736531,0.9968925424402635
2024-12-26,79,7,72,11,90.0,1882,0.015012580814438096,0.9849874191855619
2024-12-27,79,20,59,11,91.0,1883,0.03842069455017524,0.9615793054498247
2024-12-30,79,25,54,11,3.0,1886,0.08864572741050371,0.9113542725894963
2024-12-31,79,13,66,11,4.0,1887,0.024795052191659686,0.9752049478083403
2025-03-24,79,2,77,11,87.0,1970,0.0030914027181173065,0.9969085972818827
2025-03-25,78,1,77,11,86.5,1971,0.004848740598402178,0.9951512594015979
2025-03-26,78,6,72,11,86.0,1972,0.009398304339069902,0.9906016956609301
2025-03-27,78,12,66,11,87.0,1973,0.03092471304628426,0.9690752869537157
2025-03-28,77,21,56,11,3.0,1974,0.049301712380529925,0.9506982876194701
2025-03-31,77,25,52,11,3.0,1977,0.06993122607711123,0.9300687739228888
2025-06-24,77,6,71,12,88.0,2062,0.015131653644086166,0.9848683463559138
2025-06-25,77,8,69,12,89.0,2063,0.013885905275361276,0.9861140947246387
2025-06-26,77,4,73,12,90.0,2064,0.007702169036366357,0.9922978309636337
2025-06-27,77,26,51,12,3.0,2065,0.07271606234898706,0.9272839376510129
2025-06-30,77,20,57,12,3.0,2068,0.050705597029794935,0.9492944029702051
2025-09-01,78,0,77,13,66.0,2131,0.0,0.5744768128585618
2025-09-24,78,2,76,13,89.0,2154,0.0021654379253470382,0.9978345620746529
2025-09-25,78,8,70,13,90.0,2155,0.009490475176671655,0.9905095248233283
2025-09-26,78,23,55,12,88.0,2156,0.03696114205853666,0.9630388579414634
2025-09-29,78,22,56,12,3.0,2159,0.033194328934528,0.966805671065472
2025-09-30,78,9,69,12,4.0,2160,0.007473539212962256,0.9925264607870378
2025-10-01,78,1,77,12,5.0,2161,0.0010238281497625102,0.9989761718502375
2025-12-26,78,13,65,12,89.5,2247,0.013904478457928979,0.986095521542071
2025-12-29,78,15,63,12,91.0,2250,0.020019041740113156,0.9799809582598868
2025-12-30,78,19,59,12,4.0,2251,0.026575140974306143,0.9734248590256939
2025-12-31,78,18,60,13,2.0,2252,0.028372629525494058,0.971627370474506
2026-03-24,78,1,77,13,85.0,2335,0.0011962844771322531,0.9988037155228677
2026-03-25,78,4,74,13,85.5,2336,0.004490418646104604,0.9955095813538954
2026-03-26,78,10,68,13,86.0,2337,0.008684361699628631,0.9913156383003714
2026-03-27,78,21,57,13,86.0,2338,0.02391724358700063,0.9760827564129994
2026-03-30,78,21,57,13,3.0,2341,0.041384664440247465,0.9586153355597525
2026-03-31,78,8,70,13,4.0,2342,0.009220073365108872,0.9907799266348911
2026-06-22,78,1,77,13,87.0,2425,0.009255498154754493,0.9907445018452455
2026-06-24,78,4,74,13,89.0,2427,0.007811896710562941,0.9921881032894371
2026-06-25,78,6,72,13,90.0,2428,0.005406112022075869,0.9945938879779241
2026-06-26,78,20,58,13,88.0,2429,0.0247910848982034,0.9752089151017966
2026-06-29,78,23,55,13,3.0,2432,0.026228442225433527,0.9737715577745665
2026-06-30,78,10,68,13,4.0,2433,0.015882065448236896,0.9841179345517631
2026-07-01,78,1,77,13,5.0,2434,0.0025558828884236994,0.9974441171115763
2026-07-02,78,1,77,13,6.0,2435,0.0006643591825554269,0.9993356408174445
2026-07-08,78,1,77,13,12.0,2441,0.0003628033868803312,0.9996371966131197
2026-07-09,78,1,77,13,13.0,2442,0.0016168703228302856,0.9983831296771697
2026-07-22,78,1,77,13,26.0,2455,0.00039478015552466325,0.9996052198444754
2026-07-23,78,2,76,13,27.0,2456,0.004195598496007936,0.9958044015039921
