asset_id,ticker,name,category,subcategory,underlying_collectible,significance,publisher,publication_year,issue_number,grade,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_price_per_share,exit_market_cap_usd,total_return_at_exit,source_notes,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,comp_count,top_comp_count,median_comp_sale_usd,mean_comp_sale_usd,estimate_weighted_value_usd,estimated_nav_usd,nav_low_usd,nav_high_usd,nav_confidence,discount_to_secondary_nav,premium_to_offering,rally_return_since_offering,comp_market_momentum_90d,comp_market_momentum_180d,comp_market_momentum_365d,liquidity_score,mispricing_score
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,,,,,,,Hermes,Birkin,,35,Crocodile,Bordeaux,,2020-02-01,52500.0,34000.0,,17.0,,,2000.0,,buyout_pending,,,,,Currently trading. Submitted offering_date was 2020-02.,halted,buyout_offer,pending,,2026-08-09T00:00:00Z,,24.5,49000.0,17.0,2026-06-26,0.4411764705882353,,,,,,Pending offer metadata; not an executed trade or realized exit.,0,0,,,,,,,0.0,,-0.35238095238095235,-0.35238095238095235,,,,0.45,0.0
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,,,,,,,Hermes,Birkin,,30,Ostrich,Tangerine,,2020-06-01,28000.0,25600.0,,25.6,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.08571428571428574,-0.08571428571428574,,,,0.45,0.0
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,,,,,,,,,,Ian Fleming - Casino Royale (First Edition),,2020-06-01,39000.0,15100.0,,15.1,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.6128205128205129,-0.6128205128205129,,,,0.45,0.0
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,2022-01-01,80000.0,41000.0,,2.05,,,20000.0,,trading,,,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.48750000000000004,-0.48750000000000004,,,,0.45,0.0
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,,,,,,,,,,Ray Bradbury - Fahrenheit 451 (Signed First Edition),,2022-02-01,18000.0,10000.0,,5.0,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-02.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.4444444444444444,-0.4444444444444444,,,,0.45,0.0
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,,,,,,,,,,Grimms' Fairy Tales (Inscribed),,2021-05-01,135000.0,100000.0,,20.0,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-05.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.2592592592592593,-0.2592592592592593,,,,0.45,0.0
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,,,,,,,,,,,,Winston Churchill - The Second World War (Signed First Edition),,2020-07-01,7500.0,23625.0,,3.15,,,7500.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-07.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,2.15,2.15,,,,0.45,0.0
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,,,,,,,,,,,,Journals of the Continental Congress (17741775),,2021-07-01,120000.0,65000.0,,13.0,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-07.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.45833333333333337,-0.45833333333333337,,,,0.45,0.0
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,,,,,,,,,,Deaton Triceratops Skull,,2021-01-01,285000.0,270750.0,,23.75,,,11400.0,,exit_pending,,,,,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01.",halted,other_exit,pending,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.050000000000000044,-0.050000000000000044,,,,0.45,0.0
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,,,,,,,,,,DiMaggio 2 Watch,,2020-11-01,21000.0,20000.0,,10.0,,,2000.0,,trading,,,,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.04761904761904767,-0.04761904761904767,,,,0.45,0.0
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,,,,,,,Rolex,,,,,Domino's Pizza Special Edition Rolex Air-King,,2021-01-01,11000.0,10200.0,,5.1,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-01.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.07272727272727275,-0.07272727272727275,,,,0.45,0.0
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,,,,,,,,,,,,Frank Herbert - Dune (Inscribed First Edition),,2020-12-01,13250.0,26350.0,,26.35,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.9886792452830189,0.9886792452830189,,,,0.45,0.0
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,,,,,,,Hermes,,,,,Faubourg,,2020-09-01,150000.0,117400.0,,58.7,,,2000.0,,exited,2023-05-30,87.5,175000.0,0.16666666666666674,"Exited via buyout for $175,000 / $87.50 per share.",inactive,buyout,completed,2023-05-30,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.21733333333333338,-0.21733333333333338,,,,0.45,0.0
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,,,,,,,Hermes,,,,,Faubourg 2,,2021-01-01,165000.0,165000.0,,15.0,,,11000.0,,exited,2025-01-06,16.5,181500.0,0.10000000000000009,Exited via buyout. Submitted offering_date was 2021-01.,inactive,buyout,completed,2025-01-06,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.0,0.0,,,,0.45,0.0
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,,,,,,,,,,,,Robert Frost - A Boy's Will (First Edition),,2019-11-01,13500.0,15780.0,,78.9,,,200.0,,trading,,,,,Currently trading. Submitted offering_date was 2019-11.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.16888888888888887,0.16888888888888887,,,,0.45,0.0
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,,,,,,,,,,The Great Gatsby (Signed First Edition),,2020-09-01,200000.0,96000.0,,24.0,,,4000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-09.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.52,-0.52,,,,0.45,0.0
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,,,,,,,Rolex,,1983.0,,,GMT-Master Nipple Dial,,2020-06-01,28000.0,28500.0,,28.5,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.017857142857142794,0.017857142857142794,,,,0.45,0.0
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,,,,,,,,,,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),,2020-12-01,39000.0,25900.0,,12.95,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2020-12.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.3358974358974359,-0.3358974358974359,,,,0.45,0.0
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,,,,,,,,,,Gone with the Wind (Inscribed First Printing),,2022-02-01,25000.0,17000.0,,3.4,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-02.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.31999999999999995,-0.31999999999999995,,,,0.45,0.0
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,,,,,,,,,,H.G. Wells - The Time Machine (Inscribed First Edition),,2021-06-01,46500.0,17250.0,,2.3,,,7500.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-06.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.6290322580645161,-0.6290322580645161,,,,0.45,0.0
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,,,,,,,Hermes,Birkin,,30,,Himalaya,,2020-05-01,140000.0,93800.0,,46.9,,,2000.0,,buyout_pending,,,,,Currently trading. Submitted offering_date was 2020-05.,halted,buyout_offer,pending,,2026-08-09T00:00:00Z,,60.0,120000.0,46.9,2026-06-26,0.279317697228145,,,,,,Pending offer metadata; not an executed trade or realized exit.,0,0,,,,,,,0.0,,-0.32999999999999996,-0.32999999999999996,,,,0.45,0.0
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,,,,,,,,,,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,,2021-12-01,25000.0,16125.0,,6.45,,,2500.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-12.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.355,-0.355,,,,0.45,0.0
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,,,,,,,,,,Mark Twain - Adventures of Huckleberry Finn (First Edition),,2021-04-01,22000.0,10800.0,,5.4,,,2000.0,,trading,,,,,Currently trading. Submitted offering_date was 2021-04.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.509090909090909,-0.509090909090909,,,,0.45,0.0
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,,,,,,,,,,"Isaac Asimov - I, Robot (First Edition)",,2022-01-01,8000.0,9100.0,,9.1,,,1000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-01.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,0.13749999999999996,0.13749999999999996,,,,0.45,0.0
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,,,,,,,,,,Dr. Jekyll and Mr. Hyde (First Edition),,2022-08-01,20000.0,14000.0,,2.8,,,5000.0,,trading,,,,,Currently trading. Submitted offering_date was 2022-08.,active,none,none,,,,,,,,,,,,,,,0,0,,,,,,,0.0,,-0.30000000000000004,-0.30000000000000004,,,,0.45,0.0
