date,ticker,name,universe,category,price,return_1d,return_7d,return_30d,volatility,sharpe,sortino,max_drawdown,source_quality
2026-07-02,00MOUTON,2000 Château Mouton Rothschild,collectibles,wine and whiskey,7.9,0.006369426751592355,0.006369426751592355,0.006369426751592355,2.425176387501756,-1.6476385733242356,-2.667214055558198,-0.46071428571428574,high
2026-07-02,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,collectibles,wine and whiskey,4.05,-0.012195121951219523,-0.012195121951219523,-0.012195121951219523,1.5208410660921012,3.2111668393185724,10.697158298397076,-0.19000000000000006,high
2026-07-02,05LATOUR,2005 Château Latour,collectibles,wine and whiskey,12.35,0.0,0.0,0.0,2.0233510467022775,2.279745042058238,3.357667467000136,-0.30722891566265065,high
2026-07-02,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,collectibles,wine and whiskey,8.25,0.0,0.0,0.0,2.5094203292026913,1.4530503124199732,2.2656515735740643,-0.42713567839195976,high
2026-07-02,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,collectibles,wine and whiskey,5.4,0.0,0.0,0.0,3.2614442599295907,2.9543302241734732,6.915418827218802,-0.34558823529411764,high
2026-07-02,09RBLEROY,2009 Domaine Leroy Richebourg,collectibles,wine and whiskey,21.0,0.05793450881612072,0.05793450881612072,0.05793450881612072,0.9328640423493781,2.3618018259984823,4.357131826937352,-0.1312910284463895,high
2026-07-02,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,collectibles,wine and whiskey,8.5,0.0,0.0,0.0,1.2038967990760236,-0.5633894393310889,-1.0149465324056441,-0.2010309278350515,high
2026-07-02,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,collectibles,wine and whiskey,7.8,-0.012658227848101333,-0.012658227848101333,-0.012658227848101333,3.5283617222346297,2.902283889636083,9.580538381136135,-0.33644859813084116,high
2026-07-02,14DRC,2014 Domaine de la Romanée-Conti Assortment,collectibles,wine and whiskey,52.2,-0.000956937799043045,-0.000956937799043045,-0.000956937799043045,1.7391784752573833,0.6193302004274025,1.0314834389362486,-0.2962962962962963,high
2026-07-02,16PETRUS,2016 Château Pétrus,collectibles,wine and whiskey,4.2,-0.0117647058823529,-0.0117647058823529,-0.0117647058823529,1.4377338389740877,1.0540781203834337,3.651613395484862,-0.19999999999999996,high
2026-07-02,16SCREAG,2016 Screaming Eagle,collectibles,wine and whiskey,31.35,-0.020312499999999956,-0.020312499999999956,-0.020312499999999956,0.7277499674213118,-3.1930749465786077,-5.13002919170618,-0.2517899761336515,high
