asset_id,ticker,asset_name,category,subcategory,status,shares_outstanding,offering_date,offering_price_per_share,offering_market_cap,first_trade_date,exit_date,exit_price_per_share,exit_value_total,exit_type,source_reference,verified_at,notes,rally_url,currency,implied_offering_market_cap,warning_reason,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes,underlying_collectible,significance,publisher,publication_year,issue_number,grade
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,trading,5000.0,2021-05-01,27.0,135000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-05.,,,135000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,trading,7500.0,2020-07-01,1.0,7500.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-07.,,,7500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,trading,5000.0,2021-07-01,24.0,120000.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2021-07.,,,120000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,exit_pending,11400.0,2021-01-01,25.0,285000.0,,,,,,Rally App,2026-07-19T00:00:00Z,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01.",,,285000.0,,halted,other_exit,pending,,,,,,,,,,,,,,,,,,,,
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,trading,2000.0,2020-11-01,10.5,21000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,,,21000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,trading,2000.0,2021-01-01,5.5,11000.0,,,,,,Rally App,2026-07-12T00:00:00Z,Currently trading. Submitted offering_date was 2021-01.,,,11000.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,trading,1000.0,2020-12-01,13.25,13250.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2020-12.,,,13250.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,exited,2000.0,2020-09-01,75.0,150000.0,,2023-05-30,87.5,175000.0,buyout,Rally App,2026-07-19T00:00:00Z,"Exited via buyout for $175,000 / $87.50 per share.",,,150000.0,,inactive,buyout,completed,2023-05-30,,,,,,,,,,,,,,,,,,,
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,exited,11000.0,2021-01-01,15.0,165000.0,,2025-01-06,16.5,181500.0,buyout,Rally App,2026-07-12T00:00:00Z,Exited via buyout. Submitted offering_date was 2021-01.,,,165000.0,exit_value_total_is_not_shareholder_proceeds,inactive,buyout,completed,2025-01-06,,,,,,,,,,,,,,,,,,,
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,trading,200.0,2019-11-01,67.5,13500.0,,,,,,User-provided Books category master list,2026-07-19T00:00:00Z,Currently trading. Submitted offering_date was 2019-11.,,,13500.0,,active,none,none,,,,,,,,,,,,,,,,,,,,
